UPC,CALENDAR_DATE,UNITS_SUM,D_MEAN,PR_MEAN,DISCOUNT_MEAN
00-01-20685-00029,2011-02-21T00:00:00.000Z,74,0.125,0.0,0.0
00-02-28400-01109,2011-02-28T00:00:00.000Z,544,0.0,0.0,0.0
00-01-77975-08003,2011-02-28T00:00:00.000Z,243,0.5555555555555556,1.0,0.16
00-01-72600-00562,2011-02-28T00:00:00.000Z,1021,0.9166666666666666,1.0,0.365
00-02-28400-06408,2011-02-28T00:00:00.000Z,1402,0.9230769230769231,0.0,7.692307692307692E-4
00-06-41780-00011,2011-02-28T00:00:00.000Z,141,0.7692307692307693,0.0,0.0
00-03-41780-00118,2011-02-28T00:00:00.000Z,130,0.6666666666666666,0.08333333333333333,0.0075
00-02-77817-11150,2011-02-28T00:00:00.000Z,204,0.0,0.0,0.0
00-01-28400-08295,2011-02-28T00:00:00.000Z,128,0.0,0.0,0.0
00-02-28400-08292,2011-02-28T00:00:00.000Z,122,0.4444444444444444,0.7777777777777778,0.09666666666666666
08-01-29515-30220,2011-02-28T00:00:00.000Z,212,0.0,0.0,0.0
08-01-43571-00015,2011-02-28T00:00:00.000Z,179,0.16666666666666666,0.0,0.0
00-03-28400-08290,2011-02-28T00:00:00.000Z,158,0.18181818181818182,0.8181818181818182,0.09090909090909091
00-01-20685-00027,2011-02-28T00:00:00.000Z,87,0.0,0.375,0.09125000000000001
00-01-20685-00029,2011-02-28T00:00:00.000Z,251,0.0,0.7272727272727273,0.20363636363636364
00-02-28400-06406,2011-02-28T00:00:00.000Z,384,0.2727272727272727,0.0,0.0
00-02-28400-06404,2011-02-28T00:00:00.000Z,686,0.9230769230769231,0.0,0.0
00-02-28400-06405,2011-02-28T00:00:00.000Z,532,0.38461538461538464,0.0,0.0
00-02-28400-06405,2011-03-07T00:00:00.000Z,556,0.6923076923076923,0.0,0.0
00-01-72600-00562,2011-03-07T00:00:00.000Z,439,0.6666666666666666,0.25,0.07
00-01-20685-00027,2011-03-07T00:00:00.000Z,154,0.0,0.2727272727272727,0.06636363636363637
08-01-29515-30220,2011-03-07T00:00:00.000Z,182,0.0,0.0,0.0
08-01-43571-00015,2011-03-07T00:00:00.000Z,143,0.2727272727272727,0.0,0.0
00-01-28400-08295,2011-03-07T00:00:00.000Z,92,0.0,0.0,0.0
00-02-28400-08292,2011-03-07T00:00:00.000Z,214,0.18181818181818182,1.0,0.23999999999999996
00-02-28400-06406,2011-03-07T00:00:00.000Z,328,0.3333333333333333,0.08333333333333333,-0.013333333333333334
00-02-28400-06408,2011-03-07T00:00:00.000Z,1344,1.0,0.0,7.692307692307692E-4
00-06-41780-00011,2011-03-07T00:00:00.000Z,158,0.7692307692307693,0.23076923076923078,0.04461538461538462
00-01-77975-08003,2011-03-07T00:00:00.000Z,220,0.4,1.0,0.16
00-03-41780-00118,2011-03-07T00:00:00.000Z,132,0.7272727272727273,0.2727272727272727,0.031818181818181815
00-02-28400-06404,2011-03-07T00:00:00.000Z,778,1.0,0.0,0.0023076923076923075
00-03-28400-08290,2011-03-07T00:00:00.000Z,212,0.4,1.0,0.236
00-02-28400-01109,2011-03-07T00:00:00.000Z,540,0.0,0.0,0.0
00-01-20685-00029,2011-03-07T00:00:00.000Z,212,0.0,0.6363636363636364,0.1781818181818182
00-02-77817-11150,2011-03-07T00:00:00.000Z,217,0.0,0.0,0.0
00-02-28400-06406,2011-03-14T00:00:00.000Z,342,0.2727272727272727,0.0,0.005454545454545454
00-01-72600-00562,2011-03-14T00:00:00.000Z,1261,0.75,1.0,0.4575
00-03-28400-08290,2011-03-14T00:00:00.000Z,230,0.18181818181818182,0.8181818181818182,0.07363636363636362
00-02-77817-11150,2011-03-14T00:00:00.000Z,181,0.0,0.0,0.0
08-01-43571-00015,2011-03-14T00:00:00.000Z,135,0.36363636363636365,0.0,0.0
00-02-28400-06404,2011-03-14T00:00:00.000Z,636,0.8461538461538461,0.0,0.004615384615384615
08-01-29515-30220,2011-03-14T00:00:00.000Z,204,0.09090909090909091,0.0,0.0
00-03-41780-00118,2011-03-14T00:00:00.000Z,355,0.7692307692307693,1.0,0.33461538461538465
00-02-28400-01109,2011-03-14T00:00:00.000Z,450,0.0,0.0,0.0
00-06-41780-00011,2011-03-14T00:00:00.000Z,697,0.6923076923076923,1.0,0.33
00-02-28400-08292,2011-03-14T00:00:00.000Z,222,0.3,0.7,0.09
00-01-28400-08295,2011-03-14T00:00:00.000Z,148,0.0,0.0,0.0
00-01-77975-08003,2011-03-14T00:00:00.000Z,150,0.2,0.1,0.014000000000000002
00-02-28400-06408,2011-03-14T00:00:00.000Z,1294,0.6153846153846154,0.0,0.007692307692307693
00-01-20685-00029,2011-03-14T00:00:00.000Z,132,0.18181818181818182,0.0,0.0
00-01-20685-00027,2011-03-14T00:00:00.000Z,84,0.2727272727272727,0.0,0.0
00-02-28400-06405,2011-03-14T00:00:00.000Z,556,0.46153846153846156,0.0,0.008461538461538461
00-02-77817-11150,2011-03-21T00:00:00.000Z,177,0.0,0.0,0.0
00-01-72600-00562,2011-03-21T00:00:00.000Z,697,0.6666666666666666,0.9166666666666666,0.3066666666666667
00-01-20685-00029,2011-03-21T00:00:00.000Z,162,0.16666666666666666,0.0,0.0033333333333333335
00-02-28400-06405,2011-03-21T00:00:00.000Z,686,0.7692307692307693,1.0,0.14
08-01-29515-30220,2011-03-21T00:00:00.000Z,158,0.0,0.0,0.0
00-02-28400-08292,2011-03-21T00:00:00.000Z,236,0.4166666666666667,0.5833333333333334,0.0825
00-02-28400-06406,2011-03-21T00:00:00.000Z,474,0.5,1.0,0.12833333333333333
00-06-41780-00011,2011-03-21T00:00:00.000Z,210,0.7692307692307693,0.0,0.0023076923076923075
08-01-43571-00015,2011-03-21T00:00:00.000Z,166,0.25,0.0,0.0
00-03-41780-00118,2011-03-21T00:00:00.000Z,133,0.6666666666666666,0.08333333333333333,0.0075
00-01-28400-08295,2011-03-21T00:00:00.000Z,140,0.0,0.0,0.0
00-02-28400-06408,2011-03-21T00:00:00.000Z,1964,1.3846153846153846,1.0,0.14076923076923079
00-01-20685-00027,2011-03-21T00:00:00.000Z,111,0.1,0.0,0.0
00-02-28400-06404,2011-03-21T00:00:00.000Z,896,1.1538461538461537,1.0,0.14
00-03-28400-08290,2011-03-21T00:00:00.000Z,166,0.2222222222222222,0.7777777777777778,0.07
00-01-77975-08003,2011-03-21T00:00:00.000Z,149,0.2,0.0,0.003
00-02-28400-01109,2011-03-21T00:00:00.000Z,668,0.0,0.0,0.0
00-02-28400-08292,2011-03-28T00:00:00.000Z,152,0.23076923076923078,0.0,0.0
08-01-43571-00015,2011-03-28T00:00:00.000Z,130,0.3333333333333333,0.0,0.0
08-01-29515-30220,2011-03-28T00:00:00.000Z,174,0.0,0.0,0.0
00-01-20685-00027,2011-03-28T00:00:00.000Z,101,0.1,0.0,0.0
00-02-77817-11150,2011-03-28T00:00:00.000Z,178,0.0,0.0,0.0
00-02-28400-01109,2011-03-28T00:00:00.000Z,666,0.0,0.0,0.0
00-06-41780-00011,2011-03-28T00:00:00.000Z,205,0.7692307692307693,0.0,0.0
00-02-28400-06404,2011-03-28T00:00:00.000Z,902,1.3846153846153846,1.0,0.14
00-03-41780-00118,2011-03-28T00:00:00.000Z,158,0.6153846153846154,0.07692307692307693,0.006923076923076922
00-01-72600-00562,2011-03-28T00:00:00.000Z,944,0.6666666666666666,1.0,0.42
00-02-28400-06405,2011-03-28T00:00:00.000Z,674,0.9230769230769231,1.0,0.14
00-01-20685-00029,2011-03-28T00:00:00.000Z,156,0.16666666666666666,0.0,0.0
00-03-28400-08290,2011-03-28T00:00:00.000Z,106,0.1111111111111111,0.0,0.0
00-01-28400-08295,2011-03-28T00:00:00.000Z,116,0.0,0.0,0.0
00-02-28400-06406,2011-03-28T00:00:00.000Z,414,0.3333333333333333,1.0,0.12833333333333333
00-02-28400-06408,2011-03-28T00:00:00.000Z,1734,1.1538461538461537,1.0,0.14076923076923079
00-01-77975-08003,2011-03-28T00:00:00.000Z,259,0.2,1.0,0.16
00-02-28400-06406,2011-04-04T00:00:00.000Z,494,0.6666666666666666,1.0,0.12833333333333333
00-06-41780-00011,2011-04-04T00:00:00.000Z,199,0.7692307692307693,0.0,0.0
00-03-41780-00118,2011-04-04T00:00:00.000Z,160,0.6666666666666666,0.08333333333333333,0.0075
00-03-28400-08290,2011-04-04T00:00:00.000Z,212,0.0,0.8888888888888888,0.13111111111111112
00-01-77975-08003,2011-04-04T00:00:00.000Z,175,0.4,1.0,0.16
00-02-28400-08292,2011-04-04T00:00:00.000Z,218,0.5,0.8333333333333334,0.13833333333333334
00-01-20685-00027,2011-04-04T00:00:00.000Z,133,0.09090909090909091,0.0,0.0
00-01-72600-00562,2011-04-04T00:00:00.000Z,419,0.6666666666666666,0.16666666666666666,0.11166666666666668
00-02-28400-06405,2011-04-04T00:00:00.000Z,746,0.7692307692307693,1.0,0.14
00-02-28400-06408,2011-04-04T00:00:00.000Z,1780,1.1538461538461537,1.0,0.14076923076923079
00-01-20685-00029,2011-04-04T00:00:00.000Z,134,0.16666666666666666,0.0,0.0
00-02-28400-06404,2011-04-04T00:00:00.000Z,974,1.1538461538461537,1.0,0.14
08-01-43571-00015,2011-04-04T00:00:00.000Z,163,0.3333333333333333,0.0,0.0
00-01-28400-08295,2011-04-04T00:00:00.000Z,210,0.0,0.0,0.0
08-01-29515-30220,2011-04-04T00:00:00.000Z,204,0.0,0.0,0.0
00-02-28400-01109,2011-04-04T00:00:00.000Z,732,0.0,0.0,0.0
